address,bookmarks,dislikes,food_type,likes,name,number_of_reviews,price_range
"Shop J-K., 200 Hollywood Road,",5838,6,Hong Kong Style,78,For Kee Restaurant 科記咖啡餐室,(133 Reviews),Below $50
"G/F, 108 Hollywood Road,",3492,2,International,20,Blue · Butcher & Meat Specialist,(30 Reviews),$201-400
"G/F, 206 Hollywood Road,",5517,5,Thai,31,Chachawan,(43 Reviews),$201-400
"Shop 3018, 3/F, Shun Tak Centre, 168-200 Connaught Road Central,",1173,1,Hong Kong Style,23,Capital Café 華星冰室,(39 Reviews),Below $50
"G/F, 38 Queens Road West,",1064,1,Indian,50,Namaste Kitchen 滋味廚房,(57 Reviews),$51-100
"Shop 1, G/F, King Ho Building, 41-49 Aberdeen Street, Soho,",3300,0,Vietnamese,21,Bun Cha Vietnamese,(33 Reviews),$101-200
"G/F, 12 Tung Street,",5101,3,Western,14,Halfway Coffee 半路咖啡,(25 Reviews),Below $50
"G/F, Sea View Commercial Building, 21-24 Connaught Road West,",591,3,Guangdong,30,Fung Shing Restaurant 鳳城酒家,(37 Reviews),$101-200
"Shop 1B, G/F, Cheungs Building, 1 Wing Lok Street,",1224,0,Western,28,Veggi Monster,(32 Reviews),$51-100
"G/F, 8 Hillier Street,",1452,0,Japanese,28,Pokéworld,(37 Reviews),$51-100
"G/F, 2 Bonham Strand,",615,0,Italian,32,La Casa Bistro,(34 Reviews),$101-200
"Flat B, 1 U Lam Terrace,",5763,3,International,17,LOF10 辦館,(34 Reviews),Below $50
"(Inside Woaw Store), 11 Gough Street,",6549,1,International,15,Elephant Grounds,(32 Reviews),Below $50
"Shop A, G/F, 60 Bonham Strand,",726,5,Mediterranean,36,MedOven,(48 Reviews),$51-100
"Shop 8,  Food Market, 1 Queen's Road,",3903,3,Chiu Chow,126,曾記粿品,(170 Reviews),Below $50
"G/F, 14 Shelley Street, Soho,",3488,5,Italian,20,Motorino,(42 Reviews),$101-200
"G/F, 4 Staunton Street, SOHO,",1596,1,Middle Eastern,18,Le Souk,(24 Reviews),$101-200
"G/F, 32B&C Staunton Street, SOHO,",1564,5,Argentinian,38,La Pampa Argentinian Steak House,(54 Reviews),$201-400
"G/F-2/F, 10 Shelley Street, SoHo,",1404,3,Lebanon,10,Maison Libanaise,(21 Reviews),$201-400
"Shop 1A, G/F, 52-60 Lyndhurst Terrace,",358,0,Shanghai,8,Cheung Hing Kee Shanghai Pan-fried Buns 祥興記上海生煎包,(9 Reviews),Below $50
"2/F., Kinwick Centre, 32 Hollywood Road, SOHO,",1030,1,Western,9,Nood Food,(16 Reviews),$51-100
"LG/F, 13 Staunton Street,",550,0,Japanese,8,Ichitora 一虎,(18 Reviews),$51-100
"G/F, 48 Peel Street, Soho,",1502,1,French,13,Fridge,(16 Reviews),$401-800
"Shop D-E, G/F, 27 Hollywood Road, Soho,",676,0,Turkish,16,27 Kebab House Turkish Restaurant,(20 Reviews),$51-100
"Shop A, G/F, Graham Street, Soho,",2093,2,British,19,The Globe,(25 Reviews),$101-200
"G/F, 7 Old Bailey Street,",1180,0,Sichuan,6,Chilli Fagara 麻辣燙,(11 Reviews),$201-400
"G/F Hollywood Commercial House, 3-5 Old Bailey Street, SOHO,",1126,2,Australian,16,Wagyu Lounge,(24 Reviews),$101-200
"Shop C, G/F, On Lok Mansion, 39-43 Hollywood Road,",536,0,Vietnamese,6,Pho Up,(7 Reviews),$51-100
"7/F, 31 Hollywood Road, Soho,",2752,1,Hong Kong Style,3,Fu Lu Shou 福祿壽,(6 Reviews),$101-200
"G/F, 62 Hollywood Road, Soho,",1973,0,French,12,La Cabane Wine Bistro,(17 Reviews),$201-400
"G-1/F, 5 Tonnochy Road,",2370,6,Hong Kong Style,47,Loyal Dining 來佬餐館,(72 Reviews),$101-200
"2/F, Bayfield Building, 99 Hennessy Road,",479,4,Sichuan,73,Fu Chuan Xiangge 福源川香閣,(91 Reviews),$51-100
"29-30/F, 239 Hennessy Road,",9049,4,Italian,64,Pirata,(79 Reviews),$201-400
"2/F, 83 Wan Chai Road,",1783,4,Guangdong,51,名門私房菜,(75 Reviews),$201-400
"Shop 218, 2/F, Tai Yau Building, 181 Johnston Road,",3850,24,Sichuan,89,Xiangshu Restaurant 湘蜀人家,(161 Reviews),$101-200
"4/F & 5/F, Kwan Chart Tower, 6 Tonnochy Road,",6772,27,Beijing,147,Evelyn's Garden 日熹樓,(219 Reviews),$201-400
"1/F, The Harbourview, 4 Harbour Road,",13028,35,Western,209,Harbour Restaurant 灣景廳,(325 Reviews),$201-400
"Lobby, Grand Hyatt Hong Kong, 1 Harbour Road,",4619,18,Western,125,Grand Cafe 君悅咖啡廳,(202 Reviews),$401-800
"Mezzanine Floor, Grand Hyatt Hong Kong, 1 Harbour Road,",9260,15,Western,233,Tiffin 茶園,(353 Reviews),$401-800
"6/F, Hong Kong Arts Centre, 2 Harbour Road,",10725,55,Italian,346,Assaggio Trattoria Italiana,(577 Reviews),$201-400
"G/F., Shop 4-5., 98-102 Jaffe Road,",9330,4,Malaysian,65,Sabah Malaysian Cuisine 莎巴馬來西亞餐廳,(77 Reviews),$101-200
"Block C, G/F, 265-267 Hennessy Road,",14242,5,Guangdong,51,Joy Hing Roasted Meat 再興燒臘飯店,(92 Reviews),Below $50
"G/F, Yee Hor Building, 24 Swatow Street,",1374,6,Western,116,I'm Nuts,(140 Reviews),$101-200
"G/F, 29 Swatow Street,",4456,0,Japanese,15,Koku Ryu Ramen 黑龍,(21 Reviews),$101-200
"G/F, 24 Tai Wong Street East,",3244,6,Western,55,Verde MAR,(79 Reviews),$201-400
"2/F, Bayfield Building, 99 Hennessy Road,",479,0,Sichuan,73,Fu Chuan Xiangge 福源川香閣,(89 Reviews),$51-100
"G-1/F, 5 Tonnochy Road,",2370,1,Hong Kong Style,97,Loyal Dining 來佬餐館,(108 Reviews),$101-200
"2/F, 100 Queen's Road East,",8724,0,Japanese,83,Jan Jan Kushikatsu Jan Jan 串揚專門店,(84 Reviews),$201-400
"2/F, One Capital Place, 18 Luard Road,",3256,3,Hong Kong Style,70,新南苑私房菜火鍋鷄煲,(106 Reviews),$201-400
"Shop 8, G/F, Luckifast Building, 1-13 Stone Nullah Lane,",949,7,Chiu Chow,81,Chao Jo Lu 潮洲滷,(122 Reviews),$51-100
"G/F, Kin Lee Building, 142 Jaffe Road,",5757,1,Hong Kong Style,82,Mon Kee Cafe 旺記冰室,(95 Reviews),Below $50
"Shop G35, G/F, Lee Tung Avenue, 200 Queen's Road East,",4377,16,Western,79,Blue Brick Bistro,(132 Reviews),$201-400
"G/F, 113 Johnston Road,",1389,3,Japanese,106,Betsutenjin 博多拉麵別天神,(117 Reviews),$51-100
"Shop B, G/F, Jet Foil Mansion, 415-421 Jaffe Road,",7596,1,Japanese,69,Toyosu Suisan 豊洲水産海鮮丼専門店,(88 Reviews),$101-200
"G/F, Wai Cheong Building, 5-9A Gresson Street,",1710,0,Japanese,28,幸屋,(33 Reviews),$51-100
"Shop 4, G/F, Lucky House, 17-21 Burrows Street,",3194,4,Japanese,57,Kafulin Gallery,(88 Reviews),Below $50
"G/F, 14 Tai Wong Street East,",6317,0,Western,53,Bakehouse,(67 Reviews),$51-100
"G/F, 32 Swatow Street,",7891,34,Italian,198,The Cupping Room,(317 Reviews),$51-100
"3/F, Capital Builiding , 181 Lockhart Road,",5101,14,Korean,89,Seorae 喜來稀肉,(133 Reviews),$101-200
"M/F, Renaissance Harbour View Hotel Hong Kong, 1 Harbour Road,",15410,5,International,60,Cafe Renaissance 萬麗咖啡室,(101 Reviews),$401-800
"Shop 7, Food Market, 1 Queen Street ,",6403,14,Western,105,ABC Kitchen,(172 Reviews),$201-400
"2/F, Bayfield Building, 99 Hennessy Road,",479,0,Sichuan,37,Fu Chuan Xiangge 福源川香閣,(51 Reviews),$51-100
"The Mercer, 29 Jervois Street,",5627,1,Japanese,12,Sushi Shikon 志魂,(22 Reviews),Above $801
"Shop E, G/F, Fu Fai Commercial Centre, 27 Hillier Street,",3263,2,International,14,Why 50,(24 Reviews),$51-100
"Shop 1, 22-24 Jervois Street,",1959,2,Hong Kong Style,35,Noodle Supreme 麵尊,(50 Reviews),Below $50
"Shop B, G/F, Lam’s Building, 6-10 Kau U Fong,",2664,4,Japanese,23,Kanidou Noda 蟹道 野田,(29 Reviews),Above $801
"Shop A, G/F, Lam's Building, 6-10 Kau U Fong,",1933,1,Japanese,36,Tenshu Tempura & Sashimi Restaurant 天秀,(41 Reviews),$401-800
"Shop C & 1/F, Alliance Building, 133 Connaught Road Central,",1345,2,Hakka,24,Chuen Cheung Kui 泉章居,(39 Reviews),$101-200
"G/F, Tung Hip Commercial Building, 244-252 Des Voeux Road Central,",3181,17,Japanese,59,Urawa Japanese Restaurant 浦和日本料理,(117 Reviews),$201-400
"Shop A, G/F & 1/F, 84-90 Bonham Strand,",3687,9,Guangdong,69,Tim's Kitchen 桃花源小廚,(97 Reviews),$401-800
"G/F, 138 Connaught Road Central,",710,1,Guangdong,21,Chef Kitchen 南北小聚,(32 Reviews),$101-200
"G/F, 11 Upper Station Street,",3253,2,International,14,Frantzén’s Kitchen,(16 Reviews),$401-800
"1/F, San Toi Building, 137-139 Connaught Road,",1277,2,Indian,51,Basmati 印度皇,(92 Reviews),Below $50
"Shop D, G/F, 126-128 Jervois Street,",6797,3,Australian,71,Barista Jam,(91 Reviews),Below $50
"G/F, 208 Hollywood Road,",4317,22,Italian,36,208 Duecento Otto,(86 Reviews),$401-800
"G-1/F, 5 Tonnochy Road,",2370,3,Hong Kong Style,102,Loyal Dining 來佬餐館,(118 Reviews),$101-200
"G-2/F, 239 Hennessy Road,",10448,1,Spanish,76,The Optimist,(91 Reviews),$201-400
"Shop E, G/F, 2 Landale Street,",2795,3,Thai,65,MAZ Thai & BBQ,(87 Reviews),$101-200
"G/F, 128 Lockhart Road,",2768,1,Guangdong,102,Mei Garden 味苑,(110 Reviews),$101-200
"Shop A&C, G/F, China Hong Kong Tower, 8-12 Hennessy Road,",2831,6,Western,86,HOKO Farm,(99 Reviews),$51-100
"3/F, Kwan Chart Tower, 6 Tonnochy Road,",1987,4,Guangdong,86,Sing Kee Restaurant 勝記酒家,(98 Reviews),$101-200
"28/F, QRE Plaza, 202 Queen's Road East,",3049,2,Japanese,35,Kimaki Japanese Restaurant 木槇料理,(54 Reviews),$201-400
"Shop A, G/F, 68 Hennessy Road,",3044,1,Italian,86,Jacomax,(95 Reviews),$101-200
"G/F, 16 St. Francis Yard,",7839,5,Italian,57,Pici,(76 Reviews),$201-400
"2/F, Mirage Tower 13-15 Thomson Road,",3256,1,Japanese,72,Mizuki Japanese Restaurant 水木日本料理,(74 Reviews),$201-400
"19/F, QRE Plaza, 202 Queens Road East,",5715,31,Beijing,54,Zither Garden 古琴雅苑,(170 Reviews),$101-200
"Shop 7 of shop 1 & Private Lane Adjoining shop 1 on G/F Chun Fai Building Nos.1-11 Spring Garden Lane,",267,2,Japanese,93,御藏,(101 Reviews),$51-100
"G/F, Po Wah Commercial Center, 226 Hennessy Road,",12674,1,Guangdong,86,Kam's Roast Goose 甘牌燒鵝,(111 Reviews),$51-100
"G/F, 6 Pound Lane,",4582,8,International,18,Mrs. Pound,(33 Reviews),$101-200
"Shop A, 1/G, Heung Hoi Mansion, 121-123 Jaffe Road,",2097,13,Japanese,36,Sushitsuru 鮨鶴日本料理,(62 Reviews),$401-800
"6/F, Bartlock Centre, Yiu Wa Street,",9250,12,Japanese,298,深宵食堂,(340 Reviews),$201-400
"G/F, 97 Tung Choi Street,",10644,14,Thai,275,Aroy Khao Man Gai 阿來泰式地道風味,(319 Reviews),$51-100
"2/F, W Square, 314-324 Hennessy Road,",11959,8,Vietnamese,289,Sun Thai Restaurant 新泰東南亞餐廳,(356 Reviews),$101-200
"Shop 405, L4, FoodLoft, Mira Place One, 132 Nathan Road,",8899,5,Chiu Chow,325,Chateh 百樂小館,(352 Reviews),$201-400
"Shop 22, L3, The ONE, 100 Nathan Road,",24514,44,Taiwan,336,Dazzling Cafe,(584 Reviews),$101-200
"G/F, 99 Hoi Pa Street,",17896,36,Italian,318,Beans 荳子,(533 Reviews),$101-200
"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road,",15783,12,Western,262,ATUM Restaurant,(314 Reviews),$201-400
"2/F, 483-485 Nathan Road,",16982,11,Western,295,Plato Cafe & Bistro,(349 Reviews),$101-200
"Shop B111B, B1/F, K11 Art Mall, 18 Hanoi Road,",19043,36,Japanese,211,PAN de PAIN Pancakes & Sweets,(427 Reviews),$51-100
