,location,characteristic,floor_type,hkd_millions,rent_hkd,area_sqft,address,last_updated,pay_per_month_K,loan_percent,first_payment_M,full_address
0,Kowloon,"Quiet & Boutique Living, Unrivalled Luxury",High Floor Zone (Flat 3),26.5,,1137.0,Kowloon Tong/Beacon Hill Flat 3 Block A Peninsula Heights  High Floor Zone,Last Updated : 21-02-2018,70.2,50.0,113.25,"Hong Kong, Kowloon, Kowloon Tong/Beacon Hill Flat 3 Block A Peninsula Heights  High Floor Zone"
1,Kowloon,"Invite Offers, For Sale & For Lease",High Floor Zone (Flat -)                                                                        | North,7.5,17.0,485.0,Cheung Sha Wan West Flat - Tower 1 Phase 2 The Pacifica High Floor Zone,Last Updated : 23-02-2018,23.8,60.0,13.0,"Hong Kong, Kowloon, Cheung Sha Wan West Flat - Tower 1 Phase 2 The Pacifica High Floor Zone"
2,Kowloon,"Spacious Rooms, High Privacy",Low Floor Zone (Flat E)                                                                        | North East,18.0,40.0,794.0,Kowloon Station Flat E Tower 2 Phase 1 The Waterfront Low Floor Zone,Last Updated : 13-03-2018,47.6,50.0,19.0,"Hong Kong, Kowloon, Kowloon Station Flat E Tower 2 Phase 1 The Waterfront Low Floor Zone"
3,Kowloon,"Good Layout & Efficient, Unrepeatable Opportunity",Low Floor Zone (Flat -)                                                                        | South,13.98,,971.0,Cheung Sha Wan West Flat - Tower 2 One West Kowloon  Low Floor Zone,Last Updated : 22-02-2018,37.0,50.0,16.99,"Hong Kong, Kowloon, Cheung Sha Wan West Flat - Tower 2 One West Kowloon  Low Floor Zone"
4,Kowloon,"Spacious Rooms, Tranquil Garden View",Low Floor Zone (Flat AB)                                                                        | North East,25.0,,1502.0,Whampoa/Laguna Verde Flat AB Tower 10 Phase 2 Villa Verde Laguna Verde Low Floor Zone,Last Updated : 13-03-2018,66.2,50.0,112.5,"Hong Kong, Kowloon, Whampoa/Laguna Verde Flat AB Tower 10 Phase 2 Villa Verde Laguna Verde Low Floor Zone"
5,Kowloon,"Rare Offer, Famous Property",High Floor Zone (Flat A)                                                                        | South,31.0,,1108.0,Tseung Kwan O Flat A Tower 7 The Wings The Wings High Floor Zone,Last Updated : 11-03-2018,82.1,50.0,115.5,"Hong Kong, Kowloon, Tseung Kwan O Flat A Tower 7 The Wings The Wings High Floor Zone"
6,Kowloon,"Stylish Decoration, Top Of Mtr",High Floor Zone (Flat K)                                                                        | East,10.5,23.0,671.0,Tseung Kwan O Flat K Block 3 The Grandiose  High Floor Zone,Last Updated : 28-02-2018,27.8,50.0,15.25,"Hong Kong, Kowloon, Tseung Kwan O Flat K Block 3 The Grandiose  High Floor Zone"
7,Kowloon,"Internal Stairs, Famous Development",Medium Floor Zone (Flat D)                                                                        | South West,62.0,,990.0,Kowloon Tong/Beacon Hill Flat D Tower 10 Phase 1 One Beacon Hill Medium Floor Zone,Last Updated : 14-02-2018,164.2,50.0,131.0,"Hong Kong, Kowloon, Kowloon Tong/Beacon Hill Flat D Tower 10 Phase 1 One Beacon Hill Medium Floor Zone"
8,Kowloon,"Well-Proportioned, Stylish Decoration",High Floor Zone (Flat -)                                                                        | North West,8.88,19.0,544.0,Cheung Sha Wan West Flat - Tower 5 Phase 3 Banyan Garden High Floor Zone,Last Updated : 04-03-2018,26.4,56.0,13.88,"Hong Kong, Kowloon, Cheung Sha Wan West Flat - Tower 5 Phase 3 Banyan Garden High Floor Zone"
9,Kowloon,Famous Property,High Floor Zone (Flat F)                                                                        | West,9.3,22.0,680.0,Tseung Kwan O Flat F Tower 3 Phase 2 Park Central High Floor Zone,Last Updated : 12-03-2018,26.4,53.0,14.3,"Hong Kong, Kowloon, Tseung Kwan O Flat F Tower 3 Phase 2 Park Central High Floor Zone"
